sistema,region,provincia,municipio,gruposDeServicios,subgrupoDeServicios,cantidadServicios,poblacionUsuaria,valorAutorizado,mes,year
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,13,12,19422,Enero,2018
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,18,14,13583,Enero,2018
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),1,1,4500,Enero,2018
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),4,1,5555,Enero,2018
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,17,1,51577.92,Enero,2018
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,34,1,44600,Enero,2018
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,86,2,12608,Enero,2018
AUTORIZACIONES,REGION III,MARIA TRINIDAD SANCHEZ,EL POZO (DM),Hemoterapia,Sangre Total,4,4,3700,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Atencion Ambulatoria,Consulta medica nivel 2,131,104,36704,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Atencion Ambulatoria,Consulta medica nivel 3,187,140,40742,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Emergencia,Emergencia,10,10,2820,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Hospitalizacion,Hospitalizacion general y especialidades basicas,30,6,25241,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Partos,Atencion de partos por Cesarea,1,1,600,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugia General,41,4,117566.9,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugias Dermatologicas,1,1,2125,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugias Gastricas,1,1,2510,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugias Ginecologicas,3,2,6320,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugias Menores,1,1,500,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugias Oftalmologicas,22,6,59400,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugias Ortopedicas,6,1,22600,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Cirugias Urologicas,6,2,15104.35,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Cirugia,Neurocirugias,6,1,69283,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,56,36,22399,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,135,79,64628,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,1328,107,164321.8,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,64,59,74043,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,85,65,43206,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),6,5,22900,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),23,10,44591,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,47,2,70511,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,24,2,9597.6,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,746,28,1451322.05,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANTA BARBARA DE SAMANA,Hemoterapia,Sangre Total,4,3,5350,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Atencion Ambulatoria,Consulta medica nivel 2,40,33,10984,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Atencion Ambulatoria,Consulta medica nivel 3,82,60,17722,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Emergencia,Emergencia,7,4,1920,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Hospitalizacion,Hospitalizacion general y especialidades basicas,128,3,96790,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Cirugia,Cirugia General,13,2,29652.03,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Cirugia,Cirugias Menores,1,1,500,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Cirugia,Cirugias Oftalmologicas,12,2,32598.55,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Cirugia,Cirugias Urologicas,3,1,6004.35,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,16,8,6696,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,46,33,23752,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,472,46,61335,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,23,21,16680,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,34,25,18263,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),4,3,13200,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),15,7,25656,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,12,1,39000,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,25000,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,203,10,351955.8,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,SANCHEZ,Hemoterapia,Sangre Total,3,1,5250,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Atencion Ambulatoria,Consulta medica nivel 2,24,17,6996,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Atencion Ambulatoria,Consulta medica nivel 3,47,34,9844,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Hospitalizacion,Hospitalizacion general y especialidades basicas,11,3,23016,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Cirugia,Cirugia General,19,2,70007,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Cirugia,Cirugias Otorrinolaringologicas,1,1,5400,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,12,6,9870,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,18,14,11960,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,185,22,24556,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,5,5,2140,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,11,10,6500,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),1,1,1200,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,52,1,152158,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,59,3,216366,Enero,2018
AUTORIZACIONES,REGION III,SAMANA,LAS TERRENAS,Hemoterapia,Sangre Total,1,1,1750,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Atencion Ambulatoria,Consulta medica nivel 2,91,68,26954,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Atencion Ambulatoria,Consulta medica nivel 3,15,13,4888,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Emergencia,Emergencia,4,4,1110,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Hospitalizacion,Hospitalizacion general y especialidades basicas,103,7,61398,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Cirugia,Cirugia General,10,2,70180,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Cirugia,Cirugias Oftalmologicas,12,3,49600,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Cirugia,Cirugias Ortopedicas,2,1,2309.86,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Cirugia,Cirugias Otorrinolaringologicas,1,1,9657.9,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Cirugia,Neurocirugias,9,1,310956.76,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,21,17,11323,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,37,35,20751,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,266,33,31784,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,20,18,44050,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,21,21,13375,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),6,4,17333,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),7,4,12426,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,1,1,7197,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Cadera,2,1,79685.6,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Hombro,1,1,145811.25,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,79,7,363005,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,NEYBA,Hemoterapia,Sangre Total,5,3,8750,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Atencion Ambulatoria,Consulta medica nivel 2,70,50,19856,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Atencion Ambulatoria,Consulta medica nivel 3,20,19,6176,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Emergencia,Emergencia,11,7,3030,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Hospitalizacion,Hospitalizacion general y especialidades basicas,38,5,30266.34,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Cirugia,Cirugia General,15,2,30613,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Cirugia,Cirugias Ginecologicas,2,1,3520,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Cirugia,Cirugias Oftalmologicas,12,3,66000,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Cirugia,Cirugias Ortopedicas,6,1,18965.41,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Cirugia,Cirugias Otorrinolaringologicas,1,1,450,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Cirugia,Cirugias Urologicas,1,1,17000,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Cirugia,Cirugias Vasculares,8,1,186287,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,17,15,3156,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,18,15,10970,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,293,31,34624,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,16,10,23035,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,12,11,6450,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),4,4,12500,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),3,1,5688,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,25000,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,387,14,213775,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,GALVAN,Hemoterapia,Sangre Total,2,1,3500,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Atencion Ambulatoria,Consulta medica nivel 2,13,12,3332,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Atencion Ambulatoria,Consulta medica nivel 3,5,4,1544,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,3,1,900,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Cirugia,Cirugias Ginecologicas,2,1,1893,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Cirugia,Cirugias Oftalmologicas,4,1,22000,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,5,5,3500,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,76,13,9786,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,1,1,300,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,3,3,5398,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),1,1,3000,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),5,2,9714,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,LOS RIOS (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,129,5,386867.25,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Atencion Ambulatoria,Consulta medica nivel 2,43,38,12538,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Atencion Ambulatoria,Consulta medica nivel 3,9,9,2844,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Emergencia,Emergencia,3,3,870,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Cirugia,Cirugia General,4,1,5840,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Cirugia,Cirugias Ortopedicas,1,1,2772,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Cirugia,Neurocirugias,5,1,56570,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,11,10,6360,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,39,34,29777,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,174,22,21901.8,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,13,11,35940,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,14,14,9585,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),5,5,15000,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),1,1,1760,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,12,1,4798.8,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,179,10,127652,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,TAMAYO,Hemoterapia,Sangre Total,11,5,19250,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Atencion Ambulatoria,Consulta medica nivel 2,34,26,9728,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Atencion Ambulatoria,Consulta medica nivel 3,6,6,1822,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,1,1,600,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Cirugia,Cirugia General,11,2,83795,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Cirugia,Cirugias Otorrinolaringologicas,1,1,9657.9,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,10,10,2740,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,30,23,16610,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,93,15,13438,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,12,9,24915,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,12,10,7207,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),2,1,4926,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,78,4,75151,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,UVILLA (DM),Hemoterapia,Sangre Total,2,1,3500,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Atencion Ambulatoria,Consulta medica nivel 2,24,16,5898,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Atencion Ambulatoria,Consulta medica nivel 3,6,3,1422,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Emergencia,Emergencia,2,2,510,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Hospitalizacion,Hospitalizacion general y especialidades basicas,45,1,54365.7,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,10,4,3558,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,5,2,2890,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,89,9,7965,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,4,4,6550,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,4,3,1900,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),2,2,6500,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),1,1,1900,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,9,1,278230,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,1,1,2450,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,VILLA JARAGUA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,65,4,98259.48,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Atencion Ambulatoria,Consulta medica nivel 2,24,16,7484,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Atencion Ambulatoria,Consulta medica nivel 3,9,5,2854,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Emergencia,Emergencia,3,2,900,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,13,2,9862,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Cirugia,Cirugias Ginecologicas,10,1,37499,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Cirugia,Cirugias Oftalmologicas,4,1,4450,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,3,3,660,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,14,13,8130,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,63,7,7612,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,5,5,12040,Enero,2018
AUTORIZACIONES,REGION IV,BAHORUCO,EL PALMAR (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,5,5,3475,Enero,2018
