municipio,gruposDeServicios,subgrupoDeServicios,cantidadServicios,poblacionUsuaria,valorAutorizado
EL PALMAR (DM),Cirugia,Cirugias Ortopedicas,7,3,23459.11
EL PALMAR (DM),Cirugia,Cirugias Pediatricas,1,1,350.0
EL PALMAR (DM),Cirugia,Cirugias Vasculares,1,1,6000.0
EL PALMAR (DM),Desconocido,Desconocido,11,2,6790.0
EL PALMAR (DM),Emergencia,Emergencia,316,214,81275.0
EL PALMAR (DM),Hemoterapia,Derivados de la Sangre,1,1,70.0
EL PALMAR (DM),Hemoterapia,Sangre Total,35,28,27650.0
EL PALMAR (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,538,40,248398.22
EL PALMAR (DM),Partos,Atencion de partos normal,48,8,35607.21
EL PALMAR (DM),Partos,Atencion de partos por Cesarea,87,9,70775.97
EL PALMAR (DM),Rehabilitacion,Terapias Rehabilitacion,24,9,12350.0
EL PALMAR ARRIBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,11,6,4388.0
EL PALMAR ARRIBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,38,35,8325.8
EL PALMAR ARRIBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,510,82,40717.8
EL PALMAR ARRIBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,27,27,19625.0
EL PALMAR ARRIBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,46,42,10243.75
EL PALMAR ARRIBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),6,5,24000.0
EL PALMAR ARRIBA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),14,10,20880.0
EL PALMAR ARRIBA,Atencion Ambulatoria,Consulta medica nivel 2,147,118,29800.0
EL PALMAR ARRIBA,Cirugia,Cirugia General,9,4,23220.6
EL PALMAR ARRIBA,Cirugia,Cirugias Gastricas,1,1,4500.0
EL PALMAR ARRIBA,Cirugia,Cirugias Oftalmologicas,4,1,14000.0
EL PALMAR ARRIBA,Desconocido,Desconocido,43,8,27520.0
EL PALMAR ARRIBA,Emergencia,Emergencia,69,42,16245.0
EL PALMAR ARRIBA,Hemoterapia,Sangre Total,2,2,270.0
EL PALMAR ARRIBA,Hospitalizacion,Hospitalizacion general y especialidades basicas,79,8,18747.72
EL PALMAR ARRIBA,Partos,Atencion de partos normal,3,1,4278.0
EL PALMAR ARRIBA,Partos,Atencion de partos por Cesarea,4,1,6945.37
EL PALMAR ARRIBA,Rehabilitacion,Terapias Rehabilitacion,12,3,4200.0
EL PENON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,7,6,3358.0
EL PENON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,57,49,27591.0
EL PENON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,508,72,42402.3
EL PENON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,26,10,35770.0
EL PENON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,32,26,13137.0
EL PENON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),9,8,29200.0
EL PENON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),2,2,2700.0
EL PENON,Atencion Ambulatoria,Consulta medica nivel 2,122,101,28872.0
EL PENON,Atencion Ambulatoria,Consulta medica nivel 3,7,7,2166.0
EL PENON,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,60,2,18120.0
EL PENON,Cirugia,Cirugias Dermatologicas,2,1,329.57
EL PENON,Cirugia,Cirugias Ginecologicas,3,1,4958.31
EL PENON,Cirugia,Cirugias Menores,2,1,1200.0
EL PENON,Cirugia,Cirugias Oftalmologicas,8,1,5895.72
EL PENON,Emergencia,Emergencia,46,33,12671.0
EL PENON,Hemoterapia,Sangre Total,5,5,350.0
EL PENON,Hospitalizacion,Hospitalizacion general y especialidades basicas,171,8,51061.83
EL PENON,Partos,Atencion de partos normal,6,1,4826.66
EL PENON,Partos,Atencion de partos por Cesarea,9,1,7269.63
EL PENON,Rehabilitacion,Terapias Rehabilitacion,62,18,22050.0
EL PEnON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,10,9,4480.0
EL PEnON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,45,41,20190.85
EL PEnON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,558,68,48036.6
EL PEnON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,13,11,31500.0
EL PEnON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,21,20,10202.0
EL PEnON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),5,5,15500.0
EL PEnON,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),3,2,6426.0
EL PEnON,Atencion Ambulatoria,Consulta medica nivel 2,169,132,40170.0
EL PEnON,Atencion Ambulatoria,Consulta medica nivel 3,2,2,600.0
EL PEnON,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,3,1,922.0
EL PEnON,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Columna: Cirugia Escoliosis,2,1,122.0
EL PEnON,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,61,3,63183.63
EL PEnON,Cirugia,Cirugia General,10,2,9056.800000000001
EL PEnON,Cirugia,Cirugias Oftalmologicas,13,3,35356.21
EL PEnON,Emergencia,Emergencia,50,26,12864.0
EL PEnON,Hemoterapia,Sangre Total,5,5,350.0
EL PEnON,Hospitalizacion,Hospitalizacion general y especialidades basicas,126,10,26021.39
EL PEnON,Partos,Atencion de partos normal,7,1,5334.5
EL PEnON,Partos,Atencion de partos por Cesarea,8,1,6456.58
EL PEnON,Rehabilitacion,Aparatos y Protesis,1,1,150.0
EL PEnON,Rehabilitacion,Terapias Rehabilitacion,72,16,25600.0
EL PINO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,9,7,3888.0
EL PINO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,22,19,10319.0
EL PINO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,768,142,62258.0
EL PINO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,25,24,57313.0
EL PINO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,28,25,7785.0
EL PINO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),3,3,11500.0
EL PINO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),27,14,42010.0
EL PINO,Atencion Ambulatoria,Consulta medica nivel 2,304,241,62954.0
EL PINO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,10,1,348559.82
EL PINO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,2,1,8500.0
EL PINO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,21000.0
EL PINO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,30,6,37704.0
EL PINO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,348,12,207278.81000000003
EL PINO,Cirugia,Cirugia General,4,3,9725.029999999999
EL PINO,Cirugia,Cirugias Dermatologicas,1,1,705.0
EL PINO,Cirugia,Cirugias Ginecologicas,3,2,4111.0
EL PINO,Cirugia,Cirugias Menores,1,1,489.47
EL PINO,Cirugia,Cirugias Oftalmologicas,4,1,22000.0
EL PINO,Cirugia,Cirugias Ortopedicas,6,1,48800.0
EL PINO,Cirugia,Cirugias Urologicas,1,1,623.7
EL PINO,Emergencia,Emergencia,216,161,58704.0
EL PINO,Hemoterapia,Derivados de la Sangre,2,2,140.0
EL PINO,Hemoterapia,Sangre Total,10,10,700.0
EL PINO,Hospitalizacion,Hospitalizacion general y especialidades basicas,396,34,151075.14
EL PINO,Partos,Atencion de partos normal,7,2,2518.8
EL PINO,Partos,Atencion de partos por Cesarea,2,2,6400.0
EL PINO,Rehabilitacion,Terapias Rehabilitacion,61,8,21350.0
EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,118,73,34889.0
EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,256,194,101525.4
EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,3693,674,342453.32
EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,146,139,125345.0
EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,259,225,84487.0
EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),23,15,84360.0
EL POZO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),46,30,62680.0
EL POZO (DM),Atencion Ambulatoria,Consulta medica nivel 2,1068,808,224492.0
EL POZO (DM),Atencion Ambulatoria,Consulta medica nivel 3,304,229,63100.0
EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,9,2,531042.67
EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,37,4,74477.92
EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,61.0
EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,386,10,348027.33
EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Hombro,1,1,150.0
EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Politraumatismo (Trauma Mayor),1,1,3861.0
EL POZO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,356,8,326330.88
EL POZO (DM),Cirugia,Cirugia General,30,12,34904.899999999994
EL POZO (DM),Cirugia,Cirugias Dermatologicas,11,9,11615.0
EL POZO (DM),Cirugia,Cirugias Gastricas,1,1,2510.0
EL POZO (DM),Cirugia,Cirugias Ginecologicas,12,7,13437.169999999998
EL POZO (DM),Cirugia,Cirugias Menores,5,3,666.5899999999999
EL POZO (DM),Cirugia,Cirugias Oftalmologicas,61,19,114189.77
EL POZO (DM),Cirugia,Cirugias Ortopedicas,2,2,5143.0
EL POZO (DM),Cirugia,Cirugias Urologicas,5,1,8327.53
EL POZO (DM),Cirugia,Neumologia,4,4,45001.0
EL POZO (DM),Desconocido,Desconocido,3,2,1580.0
EL POZO (DM),Emergencia,Emergencia,397,282,104250.0
EL POZO (DM),Hemoterapia,Derivados de la Sangre,6,6,420.0
EL POZO (DM),Hemoterapia,Sangre Total,43,41,16630.0
EL POZO (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,1385,97,542597.35
EL POZO (DM),Partos,Atencion de partos normal,35,6,23724.78
EL POZO (DM),Partos,Atencion de partos por Cesarea,36,7,33708.26
EL POZO (DM),Rehabilitacion,Terapias Rehabilitacion,161,32,59810.0
EL POZO (DM),Servicios Odontologicos,Tratamiento de la Osteomielitis,1,1,131.0
EL PUERTO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,20,15,30019.0
EL PUERTO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,58,55,15843.95
EL PUERTO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,718,105,69473.4
EL PUERTO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,44,35,28983.5
EL PUERTO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,48,40,11850.0
EL PUERTO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),7,6,20930.0
EL PUERTO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),13,10,23620.0
EL PUERTO (DM),Atencion Ambulatoria,Consulta medica nivel 2,281,224,63366.0
EL PUERTO (DM),Atencion Ambulatoria,Consulta medica nivel 3,8,6,2388.0
EL PUERTO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,5,1,284145.5
EL PUERTO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,10,2,24098.0
EL PUERTO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,25000.0
EL PUERTO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,18,2,7198.200000000001
EL PUERTO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,782,20,261908.3
EL PUERTO (DM),Cirugia,Cirugia General,14,5,70171.03
EL PUERTO (DM),Cirugia,Cirugias Dermatologicas,3,3,3250.0
EL PUERTO (DM),Cirugia,Cirugias Gastricas,1,1,2510.0
EL PUERTO (DM),Cirugia,Cirugias Ginecologicas,25,5,65066.31
EL PUERTO (DM),Cirugia,Cirugias Menores,3,3,1500.0
EL PUERTO (DM),Cirugia,Cirugias Ortopedicas,35,4,170530.75
EL PUERTO (DM),Cirugia,Cirugias Otorrinolaringologicas,1,1,9657.9
EL PUERTO (DM),Cirugia,Cirugias Pediatricas,2,1,2489.5
EL PUERTO (DM),Desconocido,Desconocido,1,1,150.0
EL PUERTO (DM),Emergencia,Emergencia,51,26,12572.0
EL PUERTO (DM),Hemoterapia,Derivados de la Sangre,3,3,220.0
EL PUERTO (DM),Hemoterapia,Sangre Total,4,3,7000.0
EL PUERTO (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,208,14,77401.15
EL PUERTO (DM),Partos,Atencion de partos normal,8,1,4892.0
EL PUERTO (DM),Rehabilitacion,Aparatos y Protesis,1,1,8071.42
EL PUERTO (DM),Rehabilitacion,Terapias Rehabilitacion,21,5,9190.0
EL RANCHITO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,6,3,2100.0
EL RANCHITO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,23,21,13773.0
EL RANCHITO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,322,53,28306.0
EL RANCHITO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,10,10,2510.0
EL RANCHITO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,27,21,7313.0
EL RANCHITO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),5,5,6000.0
EL RANCHITO (DM),Atencion Ambulatoria,Consulta medica nivel 2,71,51,14600.0
EL RANCHITO (DM),Atencion Ambulatoria,Consulta medica nivel 3,9,6,1800.0
EL RANCHITO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,207,4,222612.0
EL RANCHITO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Politraumatismo (Trauma Mayor),2,1,2306.0
EL RANCHITO (DM),Cirugia,Cirugia General,5,4,20202.19
EL RANCHITO (DM),Cirugia,Cirugias Dermatologicas,9,3,1964.23
EL RANCHITO (DM),Cirugia,Cirugias Ginecologicas,2,2,2412.17
EL RANCHITO (DM),Cirugia,Cirugias Menores,1,1,5856.1
EL RANCHITO (DM),Cirugia,Cirugias Vasculares,4,1,12674.1
EL RANCHITO (DM),Emergencia,Emergencia,86,39,17429.0
EL RANCHITO (DM),Hemoterapia,Sangre Total,3,3,210.0
EL RANCHITO (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,139,13,27578.049999999996
EL RANCHITO (DM),Partos,Atencion de partos normal,11,1,5703.85
EL RANCHITO (DM),Partos,Atencion de partos por Cesarea,11,1,6917.59
EL RANCHITO (DM),Rehabilitacion,Terapias Rehabilitacion,15,2,2835.0
EL RUBIO(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,8,5,4400.0
EL RUBIO(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,66,48,13807.0
EL RUBIO(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,929,147,69957.8
EL RUBIO(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,19,16,20584.0
EL RUBIO(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,38,31,12129.0
EL RUBIO(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),3,2,10000.0
EL RUBIO(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),25,12,37220.0
EL RUBIO(DM),Atencion Ambulatoria,Consulta medica nivel 2,185,138,37700.0
EL RUBIO(DM),Atencion Ambulatoria,Consulta medica nivel 3,4,3,2400.0
EL RUBIO(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,26,4,1292172.3499999999
EL RUBIO(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,84,3,333998.26
EL RUBIO(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,4,1,25500.0
EL RUBIO(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,14,3,25088.0
EL RUBIO(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Cadera,1,1,73000.0
EL RUBIO(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,181,19,627870.7999999999
EL RUBIO(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Pediatricos,2,1,2057.0
EL RUBIO(DM),Cirugia,Cirugias Cardiovasculares,11,1,164633.33
EL RUBIO(DM),Cirugia,Cirugias Dermatologicas,11,11,11550.0
EL RUBIO(DM),Cirugia,Cirugias Menores,24,11,2465.81
EL RUBIO(DM),Cirugia,Cirugias Oftalmologicas,5,1,13800.0
EL RUBIO(DM),Cirugia,Cirugias Ortopedicas,3,1,4371.5
EL RUBIO(DM),Desconocido,Desconocido,13,3,8320.0
EL RUBIO(DM),Emergencia,Emergencia,114,79,28119.0
EL RUBIO(DM),Hemoterapia,Sangre Total,10,8,3919.99
EL RUBIO(DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,430,21,110208.07
EL RUBIO(DM),Partos,Atencion de partos normal,6,2,7478.0
EL RUBIO(DM),Partos,Atencion de partos por Cesarea,9,2,10189.74
EL RUBIO(DM),Rehabilitacion,Terapias Rehabilitacion,3,1,1200.0
EL VALLE,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,24,19,12003.0
EL VALLE,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,62,50,30209.75
EL VALLE,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,1091,268,85804.83
EL VALLE,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,44,36,45488.0
EL VALLE,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,48,41,13223.0
EL VALLE,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),9,8,30800.0
EL VALLE,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),26,22,39952.0
EL VALLE,Atencion Ambulatoria,Consulta medica nivel 2,380,289,83878.0
EL VALLE,Atencion Ambulatoria,Consulta medica nivel 3,7,7,2122.0
EL VALLE,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,11,3,10450.0
EL VALLE,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,7,2,113349.0
EL VALLE,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Hombro,1,1,600.0
EL VALLE,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,206,17,249508.0
EL VALLE,Cirugia,Cirugia General,11,7,25745.729999999996
EL VALLE,Cirugia,Cirugias Dermatologicas,3,3,4000.0
EL VALLE,Cirugia,Cirugias Ginecologicas,5,4,7687.1
EL VALLE,Cirugia,Cirugias Menores,4,4,1989.47
EL VALLE,Cirugia,Cirugias Oftalmologicas,34,6,93334.56
EL VALLE,Cirugia,Cirugias Ortopedicas,7,2,10969.0
EL VALLE,Cirugia,Cirugias Otorrinolaringologicas,2,2,1000.0
EL VALLE,Cirugia,Cirugias Urologicas,1,1,5002.0
EL VALLE,Desconocido,Desconocido,18,5,11520.0
EL VALLE,Emergencia,Emergencia,265,219,76835.0
EL VALLE,Hemoterapia,Derivados de la Sangre,1,1,70.0
EL VALLE,Hemoterapia,Sangre Total,10,9,7420.0
EL VALLE,Hospitalizacion,Hospitalizacion general y especialidades basicas,600,63,169009.49000000002
EL VALLE,Partos,Atencion de partos normal,4,1,3229.9
EL VALLE,Partos,Atencion de partos por Cesarea,15,2,12621.8
EL VALLE,Rehabilitacion,Terapias Rehabilitacion,10,4,5200.0
ENRIQUILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,39,32,29042.0
ENRIQUILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,193,161,81724.25
ENRIQUILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,4160,767,336142.43
ENRIQUILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,119,80,177011.0
ENRIQUILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,120,106,35888.0
ENRIQUILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),19,18,61400.0
ENRIQUILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),41,32,60901.07
ENRIQUILLO,Atencion Ambulatoria,Consulta medica nivel 2,1116,908,241800.0
ENRIQUILLO,Atencion Ambulatoria,Consulta medica nivel 3,37,34,10554.0
ENRIQUILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,132,7,78737.20999999999
ENRIQUILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,25000.0
ENRIQUILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,108,7,39933.87
ENRIQUILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Rodilla,4,1,63999.91
ENRIQUILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,247,21,739815.25
ENRIQUILLO,Cirugia,Cirugia General,51,12,165386.27000000002
ENRIQUILLO,Cirugia,Cirugias Dermatologicas,6,2,10822.380000000001
ENRIQUILLO,Cirugia,Cirugias Ginecologicas,41,13,44816.049999999996
ENRIQUILLO,Cirugia,Cirugias Oftalmologicas,19,5,50416.94
ENRIQUILLO,Cirugia,Cirugias Ortopedicas,125,11,602592.1499999999
ENRIQUILLO,Cirugia,Cirugias Otorrinolaringologicas,12,3,64584.02
ENRIQUILLO,Cirugia,Cirugias Urologicas,4,1,2987.9
ENRIQUILLO,Desconocido,Desconocido,7,4,3950.0
ENRIQUILLO,Emergencia,Emergencia,2762,2299,795279.0
ENRIQUILLO,Hemoterapia,Sangre Total,53,51,12110.0
ENRIQUILLO,Hospitalizacion,Hospitalizacion general y especialidades basicas,1142,97,348841.39
ENRIQUILLO,Partos,Atencion de partos normal,73,13,60166.51
ENRIQUILLO,Partos,Atencion de partos por Cesarea,108,12,110399.86
ENRIQUILLO,Rehabilitacion,Aparatos y Protesis,2,1,300.0
ENRIQUILLO,Rehabilitacion,Terapias Rehabilitacion,88,28,31280.0
ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,146,112,94447.0
ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,342,298,108753.05
ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,4074,549,376019.8
ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,101,80,120876.0
ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,187,166,73525.0
ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),35,30,115137.5
ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),73,56,108714.0
ESPERALVILLO,Atencion Ambulatoria,Consulta medica nivel 2,1401,1074,311240.0
ESPERALVILLO,Atencion Ambulatoria,Consulta medica nivel 3,45,40,13830.0
ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,6,1,272201.0
ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion de Prematuros,4,1,3200.0
ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,136,5,133205.0
ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,2,2,50000.0
ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,363,11,284670.33999999997
ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,630,22,324502.30000000005
ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Valvuloplastia Mitral,38,1,521806.0
ESPERALVILLO,Cirugia,Cirugia General,53,19,91301.85999999999
ESPERALVILLO,Cirugia,Cirugias Dermatologicas,6,3,5787.7699999999995
ESPERALVILLO,Cirugia,Cirugias Ginecologicas,51,15,58591.16
ESPERALVILLO,Cirugia,Cirugias Menores,18,7,5384.18
ESPERALVILLO,Cirugia,Cirugias Oftalmologicas,59,13,191299.56
ESPERALVILLO,Cirugia,Cirugias Ortopedicas,32,9,75362.41000000002
ESPERALVILLO,Cirugia,Cirugias Otorrinolaringologicas,5,4,5713.0
ESPERALVILLO,Cirugia,Cirugias Pediatricas,10,5,7311.5
ESPERALVILLO,Cirugia,Cirugias Urologicas,8,4,26648.44
ESPERALVILLO,Cirugia,Cirugias Vasculares,1,1,200.0
ESPERALVILLO,Cirugia,Neumologia,1,1,5000.0
ESPERALVILLO,Cirugia,Neurocirugias,10,1,916990.0
ESPERALVILLO,Desconocido,Desconocido,13,4,7816.0
